                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1749,                  0.577,                0.86621,                 0.8992,                0.85729,                0.92868,                0.58547,                 1.1654,                0.58164,                0.87071,               0.001307,               0.001307,               0.001307
                     37,                 1.1698,                0.57878,                0.86569,                0.90261,                0.85967,                0.92577,                0.56801,                 1.2237,                0.59087,                0.87697,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1765,                0.57681,                0.86397,                0.90381,                0.87902,                0.93459,                 0.5835,                 1.1803,                0.57122,                0.87045,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1609,                0.57272,                0.86241,                0.90916,                0.86569,                0.93378,                0.59182,                 1.1565,                 0.5685,                0.86784,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1609,                0.56427,                0.86564,                0.90789,                0.87208,                0.93357,                0.58324,                 1.1753,                0.58123,                0.87165,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1567,                0.56323,                0.86244,                0.90631,                 0.8677,                0.93455,                0.58994,                 1.1688,                0.56457,                0.86924,               0.001208,               0.001208,               0.001208
                     42,                 1.1339,                0.55279,                0.86259,                0.89507,                0.87183,                0.93013,                0.57878,                 1.1769,                0.57323,                 0.8713,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.148,                0.55977,                0.86024,                0.90712,                0.88061,                0.93962,                0.59233,                  1.159,                0.56274,                0.86728,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1355,                0.55349,                0.86011,                0.90713,                0.87534,                0.93505,                0.59779,                  1.137,                0.56029,                0.86555,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1346,                0.55399,                0.86127,                 0.9078,                0.86694,                0.93397,                0.59247,                 1.1743,                0.56426,                0.87105,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1392,                 0.5534,                0.85936,                0.90658,                  0.886,                0.93769,                0.57972,                 1.2083,                0.56882,                0.87307,               0.001109,               0.001109,               0.001109
                     47,                 1.1237,                0.54826,                0.85994,                0.91277,                0.88444,                 0.9418,                0.59969,                 1.1436,                0.55316,                0.86436,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1266,                0.54787,                0.86035,                0.90908,                0.89817,                0.94585,                0.60735,                 1.1242,                0.54154,                0.86205,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1132,                0.54291,                0.85693,                0.91678,                0.88137,                0.94112,                0.59975,                 1.1509,                0.54478,                0.86591,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.106,                0.53475,                0.85699,                0.90376,                0.89202,                0.94057,                0.60282,                 1.1386,                0.54717,                0.86633,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0965,                 0.5298,                 0.8555,                0.91394,                0.89093,                 0.9447,                0.60381,                 1.1369,                0.54288,                0.86341,                0.00101,                0.00101,                0.00101
                     52,                 1.1006,                0.53497,                0.85517,                0.90862,                0.88538,                0.94199,                0.60683,                 1.1249,                0.54362,                0.86328,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1046,                0.53436,                0.85456,                0.92394,                0.88726,                0.94667,                0.60171,                 1.1356,                0.53873,                0.86229,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0906,                0.53085,                0.85274,                0.91566,                0.89453,                0.94877,                0.61136,                 1.1187,                0.52747,                0.85896,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0755,                0.52097,                0.85032,                0.92153,                0.89303,                 0.9487,                0.60576,                 1.1253,                0.52971,                 0.8605,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0856,                0.52573,                0.85232,                0.92719,                0.88789,                0.94919,                0.60762,                 1.1206,                0.53322,                 0.8597,               0.000911,               0.000911,               0.000911
                     57,                 1.0536,                0.50702,                0.85053,                0.92034,                0.89541,                0.94885,                0.61132,                 1.1145,                0.52231,                0.86064,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0747,                 0.5179,                0.84902,                0.92083,                0.89604,                0.94834,                0.60894,                 1.1255,                0.52522,                0.86139,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0689,                 0.5151,                0.85232,                0.92136,                0.89265,                0.94894,                0.61787,                 1.1012,                0.52102,                0.85841,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0632,                 0.5116,                0.84793,                0.92597,                0.89992,                  0.949,                0.60253,                 1.1317,                 0.5254,                0.86054,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0635,                0.51119,                  0.847,                0.92667,                0.89754,                0.94986,                 0.6174,                 1.1023,                 0.5132,                0.85795,               0.000812,               0.000812,               0.000812
                     62,                 1.0592,                0.50637,                0.84735,                0.92104,                0.89892,                0.95129,                0.62377,                 1.0952,                0.51182,                0.85708,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0336,                0.50065,                0.84367,                0.92944,                0.89537,                0.95271,                0.61675,                 1.1137,                0.51644,                0.85859,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0418,                0.50158,                0.84468,                0.92659,                0.89779,                 0.9507,                0.62063,                  1.099,                0.50844,                0.85516,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0246,                0.49181,                0.84375,                0.92955,                0.90293,                0.95236,                0.62573,                 1.0901,                0.50796,                0.85473,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0287,                0.49356,                0.84395,                0.92857,                0.90494,                0.95246,                0.62687,                 1.0818,                0.50832,                0.85406,               0.000713,               0.000713,               0.000713
                     67,                 1.0295,                0.49155,                0.83987,                0.92959,                0.90293,                0.95401,                0.62769,                 1.0913,                0.50317,                0.85433,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0241,                0.49175,                0.84385,                0.93461,                0.89622,                0.95593,                0.63127,                 1.0824,                0.50175,                0.85311,              0.0006734,              0.0006734,              0.0006734
                     69,                  1.034,                0.49496,                 0.8422,                0.93817,                0.90191,                0.95389,                0.62474,                 1.0871,                0.50496,                  0.853,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0121,                0.48388,                0.83929,                0.92846,                0.90645,                0.95537,                0.62956,                 1.0786,                0.49931,                0.85292,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0095,                0.48278,                0.84093,                0.93237,                0.90938,                0.95696,                0.63228,                 1.0765,                0.50088,                0.85232,               0.000614,               0.000614,               0.000614
                     72,                0.99763,                0.47755,                 0.8379,                0.93597,                0.90197,                0.95446,                0.62748,                 1.0867,                 0.4959,                0.85249,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0052,                 0.4794,                0.83996,                0.93636,                0.90599,                0.95749,                0.62971,                 1.0846,                0.49807,                0.85428,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0031,                0.47854,                0.83877,                0.94087,                 0.9099,                0.95848,                0.63222,                 1.0683,                0.49896,                0.85144,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0033,                0.47949,                0.83684,                0.93951,                0.90356,                0.95866,                0.63262,                 1.0743,                0.49402,                0.85255,              0.0005348,              0.0005348,              0.0005348
                     76,                 0.9927,                 0.4767,                0.83918,                0.93467,                0.90544,                0.95696,                0.63618,                 1.0748,                0.49286,                0.85256,               0.000515,               0.000515,               0.000515
                     77,                0.99167,                0.47397,                 0.8375,                0.93447,                 0.9067,                0.95824,                0.62838,                 1.0855,                0.49231,                0.85354,              0.0004952,              0.0004952,              0.0004952
                     78,                0.98063,                 0.4681,                0.83451,                 0.9335,                0.91485,                0.96008,                0.64129,                 1.0629,                0.48932,                0.84986,              0.0004754,              0.0004754,              0.0004754
                     79,                0.97461,                0.46603,                0.83506,                0.92451,                0.91531,                0.95775,                0.63905,                 1.0634,                0.48901,                 0.8506,              0.0004556,              0.0004556,              0.0004556
                     80,                0.96984,                0.46396,                0.83516,                0.93939,                0.90962,                0.96073,                0.63707,                 1.0734,                 0.4906,                0.85152,              0.0004358,              0.0004358,              0.0004358
                     81,                0.97277,                0.46348,                0.83604,                0.93303,                 0.9103,                0.95821,                0.64251,                 1.0506,                0.47918,                0.84777,               0.000416,               0.000416,               0.000416
                     82,                0.96711,                0.46024,                0.83521,                0.94099,                0.90593,                0.96021,                0.64388,                 1.0547,                0.48568,                0.84877,              0.0003962,              0.0003962,              0.0003962
                     83,                0.96051,                0.45734,                0.83298,                0.93419,                0.91147,                0.95916,                0.63865,                 1.0657,                0.48612,                0.84936,              0.0003764,              0.0003764,              0.0003764
